,City,Cloudiness,Country,Humidity,Lat,Max Temp,Wind Speed
0,Chemal,0,RU,74,51.41,13.31,1.92
1,Chaman,88,AF,97,30.92,40.31,1.7
2,Bubaque,0,GW,94,11.28,77.39,3.04
3,Vaini,0,IN,85,15.34,56.96,2.26
4,Ambon,90,FR,93,47.55,54,13.87
5,Los Llanos de Aridane,90,ES,68,28.66,64.4,9.17
6,Mar del Plata,8,AR,47,-46.43,66.36,16.02
7,Faanui,44,PF,100,-16.48,82.88,5.95
8,Arraial do Cabo,92,BR,93,-22.97,80.9,11.65
9,Vanimo,68,PG,97,-2.67,83.24,10.98
10,Dikson,32,RU,76,73.51,-7.71,5.95
11,Robertson,0,ZA,98,-33.8,54.03,2.04
12,Rikitea,0,PF,100,-23.12,79.1,9.86
13,Komsomolskiy,36,RU,62,67.55,-8.3,5.39
14,Novopskov,64,UA,94,49.54,22.22,4.72
15,Lusambo,32,CD,96,-4.97,71.49,2.04
16,Bethel,90,US,86,60.79,33.8,10.29
17,Kartaly,88,RU,87,53.05,19.88,9.31
18,Punta Arenas,75,CL,76,-53.16,53.6,10.29
19,Jiayuguan,0,CN,44,39.77,2.51,3.04
20,Hermanus,0,ZA,91,-34.42,66,1.01
21,Ampanihy,64,MG,95,-24.69,73.79,6.62
22,Albany,90,US,55,42.65,36,2.37
23,Novoselytsya,0,UA,73,48.22,25,3.6
24,Aketi,32,CD,98,2.74,69.65,2.26
25,Isangel,36,VU,94,-19.55,83.28,12.77
26,Ushuaia,40,AR,66,-54.81,51.8,2.24
27,Lucea,20,JM,69,18.44,78.8,10.29
28,Barrow,0,AR,66,-38.31,60.96,7.07
29,Brindisi,0,IT,87,40.63,52,11.41
30,Sept-Iles,20,CA,40,50.2,17.6,5.82
31,Avarua,8,CK,79,-21.21,86,9.17
32,Nome,90,US,77,30.04,73,5.82
33,Sheridan,90,US,92,39.65,19,14.99
34,Santa catarina de Tepehuanes,0,MX,18,25.34,75.81,8.19
35,Mataura,0,NZ,69,-46.19,64,8.99
36,Vardo,90,US,70,39.62,44.6,8.05
37,Pavlovskiy Posad,0,RU,72,55.78,21,4.47
38,New Norfolk,75,AU,82,-42.78,66.99,4.7
39,Pisco,0,PE,30,-13.71,71.6,20.8
40,Churapcha,0,RU,72,62,-16.89,2.82
41,Dhidhdhoo,24,MV,100,6.88,82.61,10.42
42,Thinadhoo,44,MV,100,0.53,82.52,11.99
43,Kaitangata,0,NZ,78,-46.28,65.64,3.83
44,Mayumba,32,GA,100,-3.44,77.79,7.29
45,Iqaluit,20,CA,69,63.75,-13.01,17.22
46,Ribeira Grande,8,PT,98,38.52,60.29,23.51
47,La Asuncion,48,EC,97,-1.64,48.86,1.7
48,Puerto Escondido,20,MX,74,15.86,82.4,11.41
49,Cacador,0,BR,67,-26.78,61.46,4.94
50,Koulikoro,0,ML,18,12.86,69.8,5.82
51,Burnie,92,AU,83,-41.05,73.99,3
52,Busselton,0,AU,46,-33.64,66,13.22
53,Kavieng,0,PG,97,-2.57,84.95,4.27
54,Flinders,0,AU,57,-34.58,82.99,5.82
55,Otane,0,NZ,51,-39.89,71.01,1.01
56,Port Alfred,80,ZA,77,-33.59,69.01,1.01
57,Butaritari,68,KI,100,3.07,82.43,15.68
58,Thompson,90,CA,63,55.74,-7.61,8.05
59,East London,88,ZA,100,-33.02,71.45,2.15
60,Fukuma,75,JP,93,33.77,48.99,2.24
61,Nanortalik,88,GL,96,60.14,30.41,7.29
62,Sobolevo,48,RU,79,54.43,15.02,14.79
63,Atuona,0,PF,100,-9.8,81.17,8.75
64,Hobart,75,AU,82,-42.88,66.99,4.7
65,Mtambile,56,TZ,100,-5.38,82.38,6.62
66,Klaksvik,92,FO,86,62.23,41,19.46
67,Ostrovnoy,0,RU,65,68.05,2.06,10.76
68,Linxia,0,CN,41,35.6,9.21,4.94
69,Pleshanovo,92,RU,74,57.46,35.6,17.9
70,Port Hedland,92,AU,74,-20.31,82.4,6.93
71,Bredasdorp,56,ZA,88,-34.53,66,3.36
72,Alofi,76,NU,70,-19.06,86,8.05
73,Baoqing,0,CN,73,46.32,29.87,4.83
74,Hilo,1,US,57,19.71,77,10.29
75,Mahebourg,75,MU,83,-20.41,80.01,6.93
76,Alta,24,NO,77,69.97,3.2,11.41
77,Midland,44,US,81,32,51.8,9.17
78,Saquena,0,PE,81,-4.67,82.25,3.15
79,Cockburn Town,12,TC,96,21.46,78.38,18.25
80,Kapaa,40,US,57,22.08,78.8,13.87
81,Tual,44,ID,100,-5.67,80.63,5.95
82,Touros,40,BR,94,-5.2,78.8,5.82
83,Lavrentiya,56,RU,100,65.58,17.58,2.82
84,Santo Amaro da Imperatriz,0,BR,83,-27.69,78.8,2.24
85,Geraldton,75,CA,42,49.72,8.6,10.29
86,Lorengau,8,PG,92,-2.02,84.86,6.96
87,Inhambane,20,MZ,99,-23.87,77.84,8.19
88,Castro,20,CL,72,-42.48,59,4.7
89,Salalah,40,OM,21,17.01,78.8,10.29
90,Bambous Virieux,75,MU,83,-20.34,80.01,6.93
91,Jamestown,0,AU,22,-33.21,90.66,9.98
92,Ponta do Sol,80,BR,96,-20.63,66.32,3.71
93,Atbasar,88,KZ,96,51.81,29.01,26.31
94,Coahuayana,0,MX,29,18.62,86.84,2.82
95,Tasiilaq,68,GL,85,65.61,14,3.49
96,Shelburne,90,CA,92,44.08,30.2,6.93
97,Saskylakh,20,RU,36,71.97,-24.72,2.93
98,Aasiaat,76,GL,94,68.71,18.98,2.59
99,Jinxi,92,CN,98,27.92,47.19,2.93
100,Kedougou,0,SN,33,12.56,64.11,6.4
101,Victoria,75,BN,94,5.28,77,1.14
102,Banepa,40,NP,93,27.63,46.4,2.24
103,Ola,0,RU,100,59.58,2.15,7.4
104,Severo-Kurilsk,0,RU,100,50.68,26.76,14
105,Tuktoyaktuk,20,CA,64,69.44,-0.41,16.11
106,Hamilton,75,BM,88,32.3,69.8,19.46
107,Medvedovskaya,0,RU,92,45.45,33.01,6.71
108,Cidreira,36,BR,53,-30.17,77.48,10.31
109,Puerto Ayora,20,EC,66,-0.74,86,9.17
110,High Level,20,CA,45,58.52,5,4.7
111,Orcopampa,80,PE,97,-15.27,36.26,2.26
112,Birjand,0,IR,80,32.86,35.6,6.93
113,Grand Gaube,75,MU,83,-20.01,80.01,6.93
114,Talnakh,76,RU,85,69.49,16.1,16.24
115,Gravdal,92,NO,93,59.79,45,20.8
116,Pevek,24,RU,79,69.7,-4.61,3.94
117,Cherskiy,56,RU,82,68.75,-5.19,9.19
118,North Bend,1,US,71,43.41,54,18.34
119,Athabasca,0,CA,71,54.72,-0.02,9.64
120,Slave Lake,1,CA,70,55.28,-4.01,10.29
121,Krasnoznamensk,44,RU,89,54.94,28.07,14.56
122,Barra do Garcas,32,BR,86,-15.89,76.94,1.25
123,Nikolskoye,75,RU,73,59.7,26.6,22.37
124,Vidim,0,CZ,93,50.47,44.01,13.87
125,Coquimbo,40,CL,72,-29.95,64.4,6.93
126,Mayo,5,CA,34,63.59,19.4,14.99
127,Tiksi,0,RU,32,71.64,-22.43,4.05
128,Denpasar,20,ID,88,-8.65,80.6,5.82
129,Puerto Colombia,75,CO,74,10.99,78.8,8.05
130,Fort-Shevchenko,88,KZ,100,44.51,38.6,14.12
131,Les Cayes,44,HT,98,18.19,78.65,12.66
132,Cape Town,20,ZA,93,-33.93,69.01,8.05
133,Port Elizabeth,90,US,93,39.31,39.99,5.82
134,Kungurtug,44,RU,67,50.6,2.6,3.71
135,Ponta Delgada,40,PT,88,37.73,62.6,23.04
136,Kodiak,90,US,48,39.95,27,11.41
137,San Andres,0,PH,100,13.32,77.66,9.42
138,Cheremukhovo,0,RU,84,56.23,4.89,6.17
139,Lebu,8,ET,74,8.96,46.25,3.38
140,Fare,0,PF,100,-16.7,84.14,6.17
141,Mukhen,24,RU,66,48.19,27.08,2.59
142,Yasnyy,88,RU,79,64.04,13.67,5.39
143,Georgetown,75,GY,78,6.8,80.6,6.93
144,Khatanga,48,RU,46,71.98,-15.99,2.71
145,Bluff,0,AU,47,-23.58,81.26,12.44
146,Virginia Beach,90,US,87,36.85,46.4,3.04
147,Loukhi,0,RU,78,66.08,4.04,4.72
148,Noshiro,75,JP,100,40.21,30.2,8.3
149,Daru,68,SL,43,7.99,82.25,1.81
150,Tocopilla,8,CL,83,-22.09,66.81,4.61
151,Songjianghe,0,CN,73,42.18,27.48,3.94
152,Port-Gentil,20,GA,88,-0.72,80.6,3.36
153,Road Town,40,VG,65,18.42,78.8,9.17
154,Upernavik,20,GL,100,72.79,0.35,0.13
155,Dongkan,92,CN,81,34,41.88,3.15
156,Qaanaaq,0,GL,61,77.48,3.32,17.25
157,Tymovskoye,32,RU,62,50.85,13.26,3.38
158,Souillac,0,FR,93,45.6,48.99,8.05
159,Belyy Yar,75,RU,92,53.6,24.8,2.24
160,Berlevag,75,NO,68,70.86,26.6,24.16
161,Duldurga,0,RU,73,50.67,13.53,6.4
162,Yamada,75,JP,69,36.58,41,1.12
163,Alyangula,12,AU,79,-13.85,84.2,4.7
164,Balabac,0,PH,100,7.99,80.27,10.31
165,Tura,0,IN,76,25.52,49.71,2.59
166,Jutai,88,BR,98,-1.71,75.32,3.6
167,Padang,40,ID,88,-0.92,80.6,3.36
168,Tweed,90,CA,92,44.48,30.2,4.7
169,Marawi,80,PH,86,8,77,1.99
170,Port Macquarie,40,AU,69,-31.43,75.2,3.36
171,Hofn,56,IS,100,64.25,36.44,17.47
172,Batagay,56,RU,70,67.65,-24.23,3.38
173,Vanavara,12,RU,83,60.35,10.52,2.59
174,Lebanon,90,US,63,43.64,32,3.36
175,Beringovskiy,44,RU,89,63.05,28.34,15.46
176,Brae,76,GB,87,60.4,46.4,13.87
177,Tezu,0,IN,53,27.93,46.29,2.04
178,Muisne,0,EC,74,0.61,84.2,3.36
179,Fortuna,0,ES,87,38.18,55.99,3.36
180,Abrau-Dyurso,80,RU,84,44.7,32,6.71
181,Coruripe,64,BR,94,-10.12,82.97,11.1
182,Codrington,90,AU,94,-28.95,77,1.12
183,Port Lincoln,92,AU,79,-34.72,71.36,16.02
184,Yellowknife,40,CA,44,62.45,-0.41,6.93
185,Beisfjord,0,NO,72,68.38,17.01,9.17
186,Lingao,44,CN,91,19.91,72.26,4.38
187,Slavyanka,0,RU,86,42.86,38.33,12.21
188,Gobabis,0,NA,47,-22.45,63.89,4.38
189,Dingle,36,PH,82,11,77.12,9.98
190,Umm Lajj,0,SA,100,25.02,55.34,7.63
191,Juba,92,EE,89,57.82,35.01,19.46
192,Khash,0,IR,80,28.22,28.38,2.71
193,Pingdingshan,0,CN,82,33.74,33.38,2.93
194,Srednekolymsk,56,RU,60,67.46,-7.31,4.27
195,Lexington,90,US,93,38.05,42.8,6.06
196,Kosonsoy,90,UZ,75,41.25,44.6,2.15
197,Longyearbyen,40,NO,77,78.22,3.2,8.05
198,Auki,8,NG,45,12.18,68.48,3.71
199,Sann,40,PK,87,26.04,57.2,4.7
200,Sivaki,0,RU,63,52.63,8.49,2.59
201,Katangli,0,RU,100,51.71,11.78,7.74
202,Tuatapere,0,NZ,69,-46.13,64,8.99
203,Uaua,92,BR,38,-9.84,86.43,9.64
204,Jardim,8,BR,76,-21.48,77.66,5.17
205,Chokurdakh,64,RU,75,70.62,-11.72,16.24
206,Valdivia,92,CL,59,-39.81,62.6,5.82
207,Nisia Floresta,75,BR,78,-6.09,80.6,9.17
208,Provideniya,20,RU,96,64.42,27.48,7.4
209,Portland,20,US,42,45.52,48.99,20.8
210,East Chicago,75,US,74,41.64,30.99,8.63
211,Nuuk,90,GL,92,64.17,24.8,6.93
212,Oranjemund,92,ZA,90,-28.55,63.26,13.33
213,Mwanza,75,TZ,83,-2.52,69.8,5.73
214,Pochutla,20,MX,74,15.74,86,11.41
215,Saldanha,8,PT,78,41.42,37.52,4.94
216,Mocuba,92,MZ,94,-16.84,75.68,2.71
217,Kailua,75,US,73,21.39,75.99,6.93
218,Mosbach,90,DE,87,49.35,50,16.11
219,Sao Filipe,0,CV,87,14.9,72.8,14.79
220,Vallenar,0,CL,86,-28.58,65.24,1.92
221,Slovenska Bistrica,44,SI,86,46.39,44.6,1.12
222,Rawson,20,AR,36,-43.3,70.41,7.63
223,Placido de Castro,8,BR,76,-10.34,79.73,3.38
224,Sitka,80,US,75,37.17,27,5.01
225,Bandarbeyla,0,SO,100,9.49,77.16,4.16
226,Ilulissat,75,GL,85,69.22,15.8,8.05
227,Kamaishi,40,JP,80,39.28,30.2,3.36
228,Killybegs,48,IE,70,54.63,44.01,17
229,Caconda,24,AO,93,-13.73,57.95,1.92
230,Sakaiminato,90,JP,65,35.55,46.4,1.12
231,Harstad,0,NO,72,68.8,17.01,9.17
232,Kharabali,0,RU,91,47.41,27.62,10.76
233,Tigil,8,RU,71,57.8,-2.63,3.15
234,Griffith,0,AU,30,-34.29,89.01,10.29
235,Santa Fe,0,AR,61,-31.62,75.99,7
236,Port Blair,8,IN,100,11.67,80.9,13.22
237,Thomaston,75,US,82,32.89,68,5.82
238,Saint-Philippe,90,CA,68,45.36,28,7.29
239,Kholodnyy,0,RU,51,62.72,-20.04,3.38
240,Acari,92,BR,96,-6.44,70.91,4.05
241,Itapaci,44,BR,92,-14.95,72.26,2.48
242,Torbay,20,CA,57,47.66,25,17.22
243,Bolshoy Lug,0,RU,92,52.08,14,6.71
244,Winnemucca,90,US,94,40.97,35.6,10.29
245,Margate,75,AU,82,-43.03,66.99,4.7
246,Tayu,75,JP,100,35.06,48.99,6.93
247,Norman Wells,20,CA,46,65.28,8.6,11.41
248,Tarakan,75,ID,88,3.3,77,3.83
249,Ancud,20,CL,72,-41.87,59,4.7
250,Nantucket,90,US,100,41.28,33.8,10.29
251,Sao Jose da Coroa Grande,80,BR,83,-8.9,80.36,6.06
252,Lumeje,48,AO,95,-11.56,65.78,2.93
253,Haines Junction,80,CA,83,60.75,16.14,2.15
254,Verkhnyaya Inta,0,RU,65,65.99,-0.65,3.6
255,Rinconada,5,MX,32,25.68,84.99,6.93
256,Kruisfontein,0,ZA,89,-34,60.51,2.04
257,San Patricio,0,PY,67,-26.98,77.43,3.38
258,Sur,0,OM,100,22.57,67.13,17.81
259,Mbaiki,8,CF,97,3.87,69.02,2.04
260,Fort Nelson,5,CA,38,58.81,6.8,3.15
261,Itaituba,48,BR,79,-4.26,80.18,2.37
262,Machico,40,PT,77,32.7,62.6,6.93
263,Chapleau,75,CA,72,47.85,17.6,3.36
264,Dongsheng,0,CN,87,29.72,36.39,2.82
265,Fairview,90,US,69,40.81,39.99,4.7
266,Zyryanka,20,RU,64,65.73,-8.61,2.59
267,Kloulklubed,75,PW,78,7.04,80.6,5.82
268,Corumba,20,BR,78,-19,80.6,8.05
269,Chicama,20,PE,88,-7.84,77,11.41
270,Nanakuli,75,US,57,21.39,75.99,12.75
271,Sorong,56,ID,100,-0.86,81.03,7.07
272,Peace River,20,CA,53,56.23,-5.81,9.17
273,Charlottetown,90,CA,73,46.23,24.01,8.05
274,Husavik,32,CA,70,50.56,-4.01,3
275,Ayr,40,GB,65,55.46,46.4,23.04
276,Vrangel,0,RU,91,42.73,36.21,7.96
277,Kirakira,20,SB,100,-10.46,82.7,8.41
278,Arteaga,5,MX,32,25.45,84.99,6.93
279,Bathsheba,20,BB,73,13.22,77,21.92
280,San Antonio,20,CL,82,-33.58,60.8,5.82
281,Fallon,0,US,63,46.84,-4.92,10.09
282,Snasa,88,NO,72,64.25,22.76,8.41
283,Mountain Home,40,US,60,43.13,44.01,9.17
284,Dongfeng,0,CN,65,42.67,33.24,3.71
285,Taoudenni,0,ML,41,22.68,47.19,3.15
286,Sao Joao da Barra,20,BR,74,-21.64,80.6,2.24
287,Chiang Klang,0,TH,100,19.29,64.4,2.24
288,Gornopravdinsk,88,RU,77,60.06,19.97,6.73
289,Severo-Yeniseyskiy,48,RU,82,60.37,13.94,3.15
290,Xining,0,CN,58,36.62,6.24,2.59
